id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
14051566,2018/12/16,Southern Gulf Islands,48.74787542,-123.1877711,Entire home/apt,150.00 
14053374,2018/12/16,Saanich,48.49683582,-123.3900911,Entire home/apt,199.00 
14068557,2018/12/16,Victoria,48.43355565,-123.3481645,Entire home/apt,162.00 
14075317,2018/12/16,Oak Bay,48.42449486,-123.3136639,Entire home/apt,67.00 
14077574,2018/12/16,Victoria,48.42364225,-123.3641086,Entire home/apt,99.00 
14123674,2018/12/16,Langford,48.47184618,-123.5174967,Entire home/apt,99.00 
14138035,2018/12/16,Victoria,48.42801357,-123.3499366,Entire home/apt,96.00 
14142097,2018/12/16,Salt Spring Island,48.78209927,-123.4270038,Entire home/apt,100.00 
14154304,2018/12/16,Sooke,48.38303612,-123.7373485,Private room,70.00 
14164009,2018/12/16,Esquimalt,48.44836379,-123.4121965,Private room,80.00 
14203754,2018/12/16,Saanich,48.45104708,-123.3288057,Entire home/apt,185.00 
14204829,2018/12/16,Saanich,48.4641078,-123.3600053,Entire home/apt,68.00 
14206374,2018/12/16,Victoria,48.42202575,-123.382047,Private room,268.00 
14222437,2018/12/16,Victoria,48.42681088,-123.3632389,Entire home/apt,175.00 
14223226,2018/12/16,Esquimalt,48.4245225,-123.4129213,Entire home/apt,110.00 
14223365,2018/12/16,Sidney,48.64724221,-123.3982391,Entire home/apt,150.00 
14239119,2018/12/16,Sooke,48.3898284,-123.6505231,Private room,131.00 
14241045,2018/12/16,Sooke,48.39114604,-123.6525899,Private room,114.00 
14252668,2018/12/16,Saanich,48.49784545,-123.3934527,Entire home/apt,138.00 
14279944,2018/12/16,Salt Spring Island,48.78151336,-123.5035898,Entire home/apt,250.00 
14280616,2018/12/16,Victoria,48.44415907,-123.3592568,Entire home/apt,250.00 
14281520,2018/12/16,Victoria,48.41016403,-123.3554404,Entire home/apt,59.00 
14282182,2018/12/16,Saanich,48.45220466,-123.3557812,Entire home/apt,124.00 
14302045,2018/12/16,Victoria,48.41817214,-123.3453914,Entire home/apt,135.00 
14312545,2018/12/16,Saanich,48.44941548,-123.326718,Entire home/apt,66.00 
14334083,2018/12/16,North Saanich,48.6153868,-123.4163097,Entire home/apt,55.00 
14336368,2018/12/16,Langford,48.46902655,-123.5231955,Entire home/apt,96.00 
14350374,2018/12/16,Sooke,48.37088619,-123.7309022,Entire home/apt,124.00 
14353158,2018/12/16,Victoria,48.42938899,-123.3693734,Entire home/apt,150.00 
14370227,2018/12/16,Juan de Fuca,48.37398989,-123.6879633,Entire home/apt,50.00 
14376348,2018/12/16,Victoria,48.41894941,-123.3787716,Entire home/apt,90.00 
14388010,2018/12/16,Victoria,48.43612226,-123.3864226,Private room,75.00 
14401907,2018/12/16,Southern Gulf Islands,48.74644376,-123.2205597,Entire home/apt,104.00 
14405900,2018/12/16,Oak Bay,48.41189442,-123.319165,Entire home/apt,115.00 
14407157,2018/12/16,Southern Gulf Islands,48.83822048,-123.3184017,Entire home/apt,141.00 
14415548,2018/12/16,Sooke,48.35478495,-123.7331454,Entire home/apt,198.00 
14420614,2018/12/16,Saanich,48.46675906,-123.3277175,Private room,58.00 
14466878,2018/12/16,Oak Bay,48.41997914,-123.3160244,Entire home/apt,90.00 
14472858,2018/12/16,Victoria,48.43817074,-123.3474738,Entire home/apt,74.00 
14484838,2018/12/16,Saanich,48.46181906,-123.2936867,Entire home/apt,501.00 
14489972,2018/12/16,Saanich,48.47988274,-123.413466,Entire home/apt,294.00 
14503926,2018/12/16,Victoria,48.42946856,-123.3710544,Entire home/apt,99.00 
14504406,2018/12/16,Victoria,48.44186711,-123.3406481,Entire home/apt,250.00 
14549047,2018/12/16,Sooke,48.36384441,-123.7383589,Entire home/apt,88.00 
14571691,2018/12/16,Central Saanich,48.60806789,-123.3935494,Private room,124.00 
14587928,2018/12/16,Metchosin,48.34888887,-123.5474212,Entire home/apt,82.00 
14592102,2018/12/16,Victoria,48.42593555,-123.3623076,Entire home/apt,159.00 
14604644,2018/12/16,Victoria,48.42712982,-123.3628702,Entire home/apt,179.00 
14608811,2018/12/16,Victoria,48.42811325,-123.3437712,Entire home/apt,199.00 
14617132,2018/12/16,Sidney,48.64800397,-123.4012795,Entire home/apt,95.00 
14617209,2018/12/16,Saanich,48.46184706,-123.3669164,Entire home/apt,68.00 
14634799,2018/12/16,Victoria,48.41830599,-123.3292434,Entire home/apt,150.00 
14638694,2018/12/16,Saanich,48.48202485,-123.3331721,Private room,43.00 
14653715,2018/12/16,Saanich,48.4905517,-123.3380259,Entire home/apt,88.00 
