"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"465","Victoria",48.4260702296545,-123.364382027224,"Entire home/apt",1,1,"$145.00"
"466","Saanich",48.536733266815,-123.392095609001,"Entire home/apt",1,1,"$88.00"
"467","Victoria",48.4172193931288,-123.349610186702,"Entire home/apt",1,1,"$86.00"
"468","Saanich",48.4607755590132,-123.351264388893,"Entire home/apt",3,3,"$360.00"
"469","Victoria",48.4364143026726,-123.357807801777,"Entire home/apt",1,3,"$150.00"
"470","Esquimalt",48.4419955177321,-123.399583160099,"Entire home/apt",1,1,"$90.00"
"471","Victoria",48.4260368217832,-123.341775063449,"Entire home/apt",1,0,"$115.00"
"472","Esquimalt",48.4359266667044,-123.414448761311,"Entire home/apt",1,1,"$75.00"
"473","Victoria",48.4408433938516,-123.347209807067,"Entire home/apt",1,1,"$80.00"
"474","Saanich",48.4800460351438,-123.333743952532,"Entire home/apt",1,0,"$61.00"
"475","Esquimalt",48.4297044017964,-123.409435832651,"Private room",2,3,"$54.00"
"476","Victoria",48.4184098726696,-123.360128404335,"Entire home/apt",1,1,"$90.00"
"477","Saanich",48.491787296117,-123.306469372789,"Entire home/apt",1,1,"$50.00"
"478","Southern Gulf Islands",48.7463101317556,-123.18220747022,"Entire home/apt",2,3,"$150.00"
"479","Victoria",48.4276867104505,-123.368857382907,"Entire home/apt",1,1,"$211.00"
"480","Victoria",48.4282355035858,-123.369881558684,"Entire home/apt",1,1,"$190.00"
"481","Southern Gulf Islands",48.7768870604339,-123.316813034227,"Entire home/apt",1,1,"$145.00"
"482","Victoria",48.4298091768198,-123.369116581032,"Entire home/apt",1,1,"$205.00"
"483","Sooke",48.3665416123196,-123.78187964588,"Entire home/apt",1,1,"$115.00"
"484","Victoria",48.4078197297379,-123.346943168026,"Entire home/apt",4,3,"$453.00"
"485","Victoria",48.4264999037315,-123.370157365472,"Entire home/apt",1,1,"$191.00"
"486","Victoria",48.4282111362025,-123.369253751508,"Entire home/apt",1,1,"$150.00"
"487","View Royal",48.4596537803732,-123.451468785188,"Entire home/apt",1,1,"$111.00"
"488","Saanich",48.4818942668728,-123.334487388066,"Entire home/apt",1,2,"$80.00"
"489","Saanich",48.4606263193086,-123.352730383975,"Entire home/apt",1,1,"$179.00"
"490","Salt Spring Island",48.7621661881369,-123.455342341883,"Private room",1,1,"$225.00"
"491","Southern Gulf Islands",48.8674761736021,-123.32565616699,"Entire home/apt",2.5,2,"$250.00"
"492","Salt Spring Island",48.7606998794345,-123.455044526482,"Private room",1,1,"$225.00"
"493","Southern Gulf Islands",48.7495788631623,-123.195349017548,"Entire home/apt",1,1,"$111.00"
"494","Victoria",48.4270514650966,-123.362764483657,"Entire home/apt",1,1,"$90.00"
"495","Saanich",48.4897725167147,-123.32194245633,"Private room",2,1,"$32.00"
"496","Esquimalt",48.4259772287906,-123.41913535029,"Entire home/apt",1,2,"$120.00"
"497","Victoria",48.4185377446121,-123.376083574251,"Entire home/apt",1,2,"$100.00"
"498","Victoria",48.4267142063813,-123.364101476675,"Entire home/apt",1,1,"$75.00"
"499","Sooke",48.3995104614595,-123.695424682464,"Entire home/apt",1,1,"$75.00"
"500","Victoria",48.4285837764506,-123.367743274727,"Entire home/apt",1,1,"$119.00"
"501","Victoria",48.4275891460664,-123.36323806487,"Entire home/apt",1,0,"$80.00"
"502","Juan de Fuca",48.5550694987248,-124.414229222493,"Entire home/apt",1,1,"$130.00"
"503","Victoria",48.4269143910265,-123.3268344984,"Entire home/apt",2,3,"$159.00"
"504","Salt Spring Island",48.893008228667,-123.528576845656,"Private room",2.5,1,"$79.00"
"505","Victoria",48.4363485034089,-123.359183314119,"Private room",1,1,"$61.00"
"506","Victoria",48.4109531869271,-123.347419995983,"Private room",1,1,"$45.00"
"507","Southern Gulf Islands",48.8445096951053,-123.325489780839,"Entire home/apt",1,3,"$134.00"
"508","Salt Spring Island",48.8710467724506,-123.492882510224,"Entire home/apt",1,1,"$145.00"
"509","Victoria",48.4222113954652,-123.338630794613,"Private room",1,1,"$79.00"
"510","Victoria",48.4297680184442,-123.369439744335,"Entire home/apt",1,1,"$99.00"
"511","Victoria",48.430627398585,-123.340732931914,"Entire home/apt",1,1,"$80.00"
"512","Salt Spring Island",48.8912884787335,-123.50319394983,"Entire home/apt",1,3,"$155.00"
"513","Saanich",48.4622395210215,-123.352161165592,"Entire home/apt",1,0,"$134.00"
"514","Victoria",48.4287426502578,-123.368164649036,"Entire home/apt",1,1,"$99.00"
"515","Victoria",48.4285251585004,-123.358130774748,"Entire home/apt",1,1,"$79.00"
"516","Central Saanich",48.5632510683997,-123.40273115946,"Private room",1,2,"$61.00"
"517","Victoria",48.4262465711482,-123.3631596168,"Entire home/apt",1,1,"$105.00"
"518","North Saanich",48.6174483152619,-123.406573663879,"Entire home/apt",1,2,"$111.00"
"519","Victoria",48.4210616987866,-123.380062908052,"Private room",2.5,3,"$395.00"
"520","Saanich",48.4476389898814,-123.394489107105,"Entire home/apt",1,1,"$80.00"
"521","Victoria",48.4082686043294,-123.357237856664,"Entire home/apt",1,1,"$134.00"
"522","Esquimalt",48.4271477063585,-123.417768024387,"Entire home/apt",1,1,"$70.00"
"523","Victoria",48.4270774751226,-123.349543682921,"Private room",1,1,"$79.00"
