"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"579","Southern Gulf Islands",48.76679,-123.27456,"Private room",1,1,"$130.00"
"580","Southern Gulf Islands",48.76777,-123.27422,"Private room",1,1,"$130.00"
"581","Southern Gulf Islands",48.76852,-123.27325,"Private room",1,1,"$115.00"
"582","Southern Gulf Islands",48.76642,-123.27499,"Private room",1,1,"$160.00"
"583","Southern Gulf Islands",48.7687,-123.27451,"Entire home/apt",1,1,"$165.00"
"584","Saanich",48.45502,-123.32811,"Private room",1,1,"$89.00"
"585","Saanich",48.52997,-123.43748,"Entire home/apt",1,0,"$60.00"
"586","Southern Gulf Islands",48.94024,-123.48088,"Entire home/apt",1,0,"$70.00"
"587","Oak Bay",48.42784,-123.31913,"Entire home/apt",3.5,5,"$450.00"
"588","Salt Spring Island",48.84814,-123.49898,"Private room",1,1,"$250.00"
"589","Victoria",48.42748,-123.36256,"Entire home/apt",1,2,"$195.00"
"590","Saanich",48.45378,-123.33644,"Entire home/apt",1,3,"$200.00"
"591","Victoria",48.43,-123.36788,"Entire home/apt",1,1,"$142.00"
"592","Victoria",48.41427,-123.35834,"Entire home/apt",1,1,"$90.00"
"593","Saanich",48.48616,-123.42035,"Private room",1,1,"$60.00"
"594","Saanich",48.4734,-123.38665,"Entire home/apt",2.5,3,"$243.00"
"595","Victoria",48.42784,-123.35098,"Entire home/apt",1,1,"$99.00"
"596","Saanich",48.46148,-123.38231,"Entire home/apt",1,1,"$75.00"
"597","Salt Spring Island",48.87752,-123.56863,"Entire home/apt",1,1,"$180.00"
"598","Salt Spring Island",48.8255,-123.51549,"Entire home/apt",1.5,3,"$234.00"
"599","Victoria",48.42619,-123.3633,"Entire home/apt",1,1,"$95.00"
"600","Saanich",48.4983,-123.41875,"Entire home/apt",2.5,4,"$389.00"
"601","Saanich",48.47187,-123.41751,"Entire home/apt",1,1,"$70.00"
"602","Saanich",48.47013,-123.40672,"Private room",1.5,1,"$85.00"
